     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,        39,         0,   0.037,pymatching,412e1201e2c3cfe4208c1d50f1e4e299f1df6236c2a20c5932124e6856897bef,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.005,""q"":0.007552}"
       100,        48,         0,   0.014,pymatching,a78c2ecf21ff2e3248db0e163003d634b4a4f6ec80e17ddd974b67c31bb3f793,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.007,""q"":0.010573}"
       100,        41,         0,   0.038,pymatching,450b5cea0c7665e9810a310867d6ad5856a40ed3900ead9a95e2a66562874c05,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.006,""q"":0.009062}"
       100,        41,         0,   0.034,pymatching,4cdc965eb39e3521471e2d04ea83ae81520617d32a534ce2707d8295cdf6cc35,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.008,""q"":0.012083}"
       100,        49,         0,   0.033,pymatching,548aca52db108f3cddd18dd651cad91b147d0dcd64c935f015c809ed90bd2bf4,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.01,""q"":0.015104}"
       100,        47,         0,   0.040,pymatching,b9b8b4ac0f3444505916a1ec5c7ad582e8adbd39739041f12c0348134ba2beb7,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.013,""q"":0.019635}"
       100,        44,         0,   0.054,pymatching,8941890b94cd5de2715dc48734753d365f9d66f7447b63c4e1b4d1dcb5d59195,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.009,""q"":0.013594}"
       100,        50,         0,   0.058,pymatching,ac8208ea5ee1de37a38d6d1bb41c5918dc0cf693e06ca0c055832369a0935c11,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.012,""q"":0.018125}"
       200,        59,         0,   0.026,pymatching,412e1201e2c3cfe4208c1d50f1e4e299f1df6236c2a20c5932124e6856897bef,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.005,""q"":0.007552}"
       100,        44,         0,   0.038,pymatching,380c2f76e693c73350d486c824125c7d423a9ea436f52581831f6007b368978a,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.014,""q"":0.021146}"
       100,        44,         0,   0.055,pymatching,03d6d8b8331fcedd5a620b366eb1cd316db19223f33ca0496526c87002615b3d,"{""bias"":0,""bias_type"":""measurement_vs_data_qubit"",""code"":""Gauge3FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0,""p"":0.011,""q"":0.016615}"
