     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.106,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       100,         0,         0,   0.116,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
       100,         0,         0,   0.092,pymatching,8a671ee70210e4dcb00b087a7c834d396ca2b8efe1e6b7fd2dad539632231207,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009892804264139769,""p"":0.0018,""q"":0.0001545750666271839,""time"":""20221111_093102""}"
       100,         0,         0,   0.115,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
       200,         1,         0,   0.111,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       100,         1,         0,   0.083,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       200,         0,         0,   0.109,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       200,         1,         0,   0.107,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
       600,         1,         0,   0.135,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       400,         1,         0,   0.098,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       800,         1,         0,   0.126,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       600,         1,         0,   0.129,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
       600,         2,         0,   0.140,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      1200,         4,         0,   0.187,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       300,         0,         0,   0.127,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
       400,         0,         0,   0.131,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       200,         1,         0,   0.121,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
       200,         0,         0,   0.118,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
      3200,         6,         0,   0.273,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
      2400,         3,         0,   0.293,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       600,         3,         0,   0.141,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      1800,         4,         0,   0.251,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      1000,         2,         0,   0.189,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
      4800,         6,         0,   0.374,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
      3000,         6,         0,   0.348,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      2400,         3,         0,   0.309,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
      3600,        13,         0,   0.412,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      2400,         2,         0,   0.304,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      3600,         7,         0,   0.399,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      7200,        10,         0,   0.692,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
      8400,        21,         0,   0.833,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
      3000,         6,         0,   0.372,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
     14400,        26,         0,    1.02,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
      3000,         7,         0,   0.362,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
     13600,        20,         0,    1.28,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
     14400,        32,         0,    1.40,pymatching,27b02a6aca6d0709323539f48f21091583470fe43bf0f87b11f0843a8d04f892,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008793603790346462,""p"":0.0016,""q"":0.00013740005922416348,""time"":""20221111_093102""}"
       200,         1,         0,   0.114,pymatching,8a671ee70210e4dcb00b087a7c834d396ca2b8efe1e6b7fd2dad539632231207,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009892804264139769,""p"":0.0018,""q"":0.0001545750666271839,""time"":""20221111_093102""}"
      9000,        25,         0,   0.700,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
     19200,        41,         0,    1.76,pymatching,5c2b45b13e46c3c0fe41d88fa9f344daf92f5bdddfe9aaa3d2f8b541cb1da9d7,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.008244003553449807,""p"":0.0015,""q"":0.00012881255552265323,""time"":""20221111_093102""}"
       600,         1,         0,   0.146,pymatching,8a671ee70210e4dcb00b087a7c834d396ca2b8efe1e6b7fd2dad539632231207,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009892804264139769,""p"":0.0018,""q"":0.0001545750666271839,""time"":""20221111_093102""}"
      9000,        23,         0,   0.972,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
      4500,        14,         0,   0.521,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
      1000,         1,         0,   0.185,pymatching,7bb3665539805476f2b2041d175b237ceec407dc72c9a223869d0fed3c58e23f,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009343204027243117,""p"":0.0017,""q"":0.0001459875629256737,""time"":""20221111_093102""}"
      1800,         1,         0,   0.280,pymatching,8a671ee70210e4dcb00b087a7c834d396ca2b8efe1e6b7fd2dad539632231207,"{""bias"":64,""code"":""FloquetColourCode"",""distance"":8,""m"":0.009892804264139769,""p"":0.0018,""q"":0.0001545750666271839,""time"":""20221111_093102""}"
