     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         9,         0,   0.052,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
       100,         4,         0,   0.053,beliefmatching,3a4dc741694edb039b9b5ccce4ccc04d75fc8d3213c41a9a78699f892f80cfdc,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003,""p"":0.009,""q"":0.006}"
       100,         3,         0,   0.060,beliefmatching,30c925104fddf34c4e8c6392dd462aa78be507761cc1cec6c64d579cfb184ce0,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003667,""p"":0.011,""q"":0.007333}"
       100,        11,         0,   0.062,beliefmatching,33a98ef0f9962ead3e4e602cea8ab817adfd1806ede3bea5d90ee612dbaff633,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.004,""p"":0.012,""q"":0.008}"
       100,         7,         0,   0.094,beliefmatching,2f3d75b06e8c7763b6a466990678cf6db7d0d1fe32d8197a26b58f209b988c35,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.004333,""p"":0.013,""q"":0.008667}"
       100,         9,         0,   0.067,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
       100,         4,         0,   0.058,beliefmatching,3a4dc741694edb039b9b5ccce4ccc04d75fc8d3213c41a9a78699f892f80cfdc,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003,""p"":0.009,""q"":0.006}"
       200,        14,         0,   0.101,beliefmatching,3a4dc741694edb039b9b5ccce4ccc04d75fc8d3213c41a9a78699f892f80cfdc,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003,""p"":0.009,""q"":0.006}"
       200,        12,         0,   0.112,beliefmatching,3a4dc741694edb039b9b5ccce4ccc04d75fc8d3213c41a9a78699f892f80cfdc,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003,""p"":0.009,""q"":0.006}"
       200,        15,         0,   0.119,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
       200,        22,         0,   0.117,beliefmatching,30c925104fddf34c4e8c6392dd462aa78be507761cc1cec6c64d579cfb184ce0,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003667,""p"":0.011,""q"":0.007333}"
       200,         9,         0,   0.174,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
        89,         9,         0,   0.064,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
       125,         9,         0,   0.090,beliefmatching,ce13c7a2c8c0712206f0d41e1aee215bef894c3acbff3a1dbb8883f94aa5b257,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.003333,""p"":0.01,""q"":0.006667}"
