     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         1,         0,   0.019,pymatching,d2d86d367e6e07fb26100b9df29c9903c00a800a04aa14bfd90a8310b217793a,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         6,         0,   0.018,pymatching,f7cc6fa703e37baac48790ad29c630b8e6d6335a3a1b80fbb0f5abe54efa8533,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.004733,""p"":0.004733,""q"":0.0}"
       100,         6,         0,   0.018,pymatching,655fb986250b11d4e1380ec730724f5f6e0b026bb0acaca6e1f07e91cb263705,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0066,""p"":0.0066,""q"":0.0}"
       100,        11,         0,   0.017,pymatching,125b05730fabb3b82d4e39b8ace99aefd62ea4108a84679b9e2586c9b3e11485,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.010333,""p"":0.010333,""q"":0.0}"
       100,        15,         0,   0.017,pymatching,d4a5292f3cb919858dfeb4f4216c564a2c21d09024cff6dffc040704b01d994c,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.013133,""p"":0.013133,""q"":0.0}"
       100,         1,         0,   0.018,pymatching,4d54e7be42be93dea5134dd620c47020d61f10661608a88341b7193736f78684,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       100,         6,         0,   0.018,pymatching,efe7054e235a58bae17ac7f1bb049dc4d84ca504da656fcab2611277353537fd,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.005667,""p"":0.005667,""q"":0.0}"
       100,        14,         0,   0.017,pymatching,ae6156f18898f23f734fd6287c61556083f07afa356720a7db1b49897e894c65,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.011267,""p"":0.011267,""q"":0.0}"
       100,         2,         0,   0.020,pymatching,9a82b3b389772e044ccee3a1c6c09666d7ee734cde767363068cacb1fb70f7ed,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.002867,""p"":0.002867,""q"":0.0}"
       100,        19,         0,   0.017,pymatching,bacb94eb947ea12307d9ee673c6dd80c23a3490de3d09579440577f312ab2954,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.015,""p"":0.015,""q"":0.0}"
       100,         6,         0,   0.018,pymatching,d46d8558959703b3a2ac0add299379739e29960cabac9f94ad6e74fa88859a60,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0094,""p"":0.0094,""q"":0.0}"
       100,         4,         0,   0.019,pymatching,ca4cde6b40ddac0e6e54d347cee4c25fa820602151f7f81fc54ccb72d87f12d3,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.007533,""p"":0.007533,""q"":0.0}"
       100,         0,         0,   0.020,pymatching,8bd45347298c13ea5addfe75f6a3bcbe79a8f4bce3d13d356de49575b6b93988,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.001933,""p"":0.001933,""q"":0.0}"
       100,         5,         0,   0.019,pymatching,992f3ea9a63c8b8a1e97aa6ec184928194525d75b6bb94dda51bdc6aec2a4d92,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.008467,""p"":0.008467,""q"":0.0}"
       100,        14,         0,   0.019,pymatching,7b80d576fe08c2e98d76340683df114778d78df689b0d3c79cbc1fea558c3871,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.0122,""p"":0.0122,""q"":0.0}"
       100,        16,         0,   0.019,pymatching,8ece724c9515478cc57719b9a62df2ff0e7edc9991d5031eada1ff92b099e135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.014067,""p"":0.014067,""q"":0.0}"
       200,         1,         0,   0.003,pymatching,d2d86d367e6e07fb26100b9df29c9903c00a800a04aa14bfd90a8310b217793a,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.001,""p"":0.001,""q"":0.0}"
       200,         0,         0,   0.003,pymatching,d2d86d367e6e07fb26100b9df29c9903c00a800a04aa14bfd90a8310b217793a,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""HoneycombCode"",""distance"":4,""layers"":8,""m"":0.001,""p"":0.001,""q"":0.0}"
