     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
       100,         0,         0,   0.197,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         0,         0,   0.197,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       100,         0,         0,   0.197,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       100,         2,         0,   0.199,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       100,         1,         0,   0.201,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
       100,         1,         0,   0.202,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       100,         0,         0,   0.202,beliefmatching,6e51d80410b2dade196735f355b3b1efee3e5a75183b1d19e43dbe211a9da6ae,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0052,""p"":0.0052,""q"":0.0}"
       100,         1,         0,   0.201,beliefmatching,944cb9dece1b6a74cd418821957fb4d80435f4819c5a980c14bdd09bf816304c,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0059,""p"":0.0059,""q"":0.0}"
       100,         0,         0,   0.008,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         4,         0,   0.206,beliefmatching,09902d060b586ffb4a4a1de987357debf0e03cc8f035c70f2a55e12e9699d66d,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0073,""p"":0.0073,""q"":0.0}"
       200,         0,         0,   0.012,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       200,         0,         0,   0.012,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         3,         0,   0.211,beliefmatching,d0e51606a92ffedc84791af222d9455124cf7e3a6583d5ece8c39161812dffd8,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0066,""p"":0.0066,""q"":0.0}"
       100,         0,         0,   0.010,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       200,         1,         0,   0.013,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       100,         1,         0,   0.213,beliefmatching,e52833a27eb507c4a49c8f5c8f98b98bea2f4cd81048da5226837a72e3667313,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.008,""p"":0.008,""q"":0.0}"
       100,         0,         0,   0.211,beliefmatching,ffeea96fa18044dd60ae95f733479504f44634e5d64cfb2c7c8b5345bc00149a,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         6,         0,   0.213,beliefmatching,f171c70ee7df05c7920376812daeff920cd23705f4d652b956034bb046eb9d84,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0101,""p"":0.0101,""q"":0.0}"
       200,         0,         0,   0.013,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       200,         0,         0,   0.013,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       200,         0,         0,   0.013,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       100,         8,         0,   0.216,beliefmatching,90ba016d1119da9d1a0b699899ba9213ed34c1b495c8b56c18eacbcbd3c69595,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0115,""p"":0.0115,""q"":0.0}"
       200,         1,         0,   0.011,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,        10,         0,   0.218,beliefmatching,a85fb457a71cc894f98ca27e2590d688b79e4afc344c93cbac79bdf6a594f83d,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0108,""p"":0.0108,""q"":0.0}"
       100,         6,         0,   0.218,beliefmatching,f1ea7e26d28752c5d7c20f3649ee2e91fe0432c4df1a2f6095157d59fbb2035d,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.015,""p"":0.015,""q"":0.0}"
       100,         4,         0,   0.219,beliefmatching,740312bff428011dc240b7625d8389fda014b8723147b930b68e724f4750ec54,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0087,""p"":0.0087,""q"":0.0}"
       100,        10,         0,   0.219,beliefmatching,306e02700c2c9cecc0fab4e113fd0546dcf0c84035baa221300bf5e4fea106b3,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0143,""p"":0.0143,""q"":0.0}"
       100,         7,         0,   0.219,beliefmatching,ee6263a3a9f8a9eb3d3726274b44c5e857e7061ee0ef6dde577d63e44352487d,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0129,""p"":0.0129,""q"":0.0}"
       100,         8,         0,   0.220,beliefmatching,f703c5d110e0cd41b13a6dd3f3c7187535c939e22db38cafcbd8cee52ddb041e,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0094,""p"":0.0094,""q"":0.0}"
       100,        11,         0,   0.220,beliefmatching,419ab23e6377d1f7241a129b830e3568ee3231bae663f5483675d451ad72f75b,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0136,""p"":0.0136,""q"":0.0}"
       400,         1,         0,   0.018,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       100,         1,         0,   0.010,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       100,        10,         0,   0.225,beliefmatching,3a49e880395dafb451cfc03ccfb15913ffd40c204ce4e686ef9fc3cb0b474585,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0122,""p"":0.0122,""q"":0.0}"
       100,         0,         0,   0.011,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       200,         0,         0,   0.016,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       100,         2,         0,   0.010,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       400,         1,         0,   0.020,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       400,         0,         0,   0.023,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       800,         0,         0,   0.030,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       200,         6,         0,   0.019,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       200,         1,         0,   0.021,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       100,         0,         0,   0.015,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
       200,         1,         0,   0.022,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
       200,         1,         0,   0.026,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       600,         3,         0,   0.031,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       800,         2,         0,   0.035,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
      1200,         1,         0,   0.042,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       600,         0,         0,   0.038,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       200,         1,         0,   0.032,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
       600,         1,         0,   0.031,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       100,         0,         0,   0.254,beliefmatching,72c75a92d1704b4ae043a110698422e17831211abc9886a43fce4093fcd90df2,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":8,""layers"":8,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       800,         1,         0,   0.040,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
       400,         1,         0,   0.020,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       400,         2,         0,   0.031,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
      1200,         0,         0,   0.043,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
      1000,         2,         0,   0.048,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
      1200,         2,         0,   0.052,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       600,         6,         0,   0.038,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       800,         2,         0,   0.047,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       200,         1,         0,   0.027,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
       800,         6,         0,   0.059,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      2400,         1,         0,   0.083,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
      2000,         3,         0,   0.086,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       800,         9,         0,   0.084,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      1200,         3,         0,   0.080,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
      1200,         5,         0,   0.103,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
      2400,         4,         0,   0.111,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       800,         3,         0,   0.070,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
      2400,         3,         0,   0.111,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
      2400,         1,         0,   0.099,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
      1200,        10,         0,   0.118,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      2000,        17,         0,   0.118,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
      3600,         9,         0,   0.149,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
      4800,         1,         0,   0.163,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
      3600,         9,         0,   0.173,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
      1083,         8,         0,   0.087,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
       865,         5,         0,   0.087,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      3200,        16,         0,   0.181,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
      1200,        17,         0,   0.101,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
      4800,        15,         0,   0.223,beliefmatching,a51ba23e4c0cc8912514404f40410e20c9f4ab00e20ea7e9be883422ef5fa351,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0024,""p"":0.0024,""q"":0.0}"
      7200,         1,         0,   0.241,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
      7200,         1,         0,   0.235,beliefmatching,217d369a5b6782cd6c5e2a17151620e35975b3300fe362edf2eba8ef534ce135,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001,""p"":0.001,""q"":0.0}"
       600,         7,         0,   0.051,beliefmatching,6894f1a09893563bdbfc3c1e22089eb87a690b25c5fb9971cb2f7b68e9f6bb91,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0045,""p"":0.0045,""q"":0.0}"
      3200,        33,         0,   0.207,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      4800,        10,         0,   0.267,beliefmatching,9368e4390cd38fa7e72f3f00d4a2092575dd276053be3b1816d25e90231a6bab,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0017,""p"":0.0017,""q"":0.0}"
       200,         5,         0,   0.024,beliefmatching,6e51d80410b2dade196735f355b3b1efee3e5a75183b1d19e43dbe211a9da6ae,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0052,""p"":0.0052,""q"":0.0}"
       200,         2,         0,   0.019,beliefmatching,6e51d80410b2dade196735f355b3b1efee3e5a75183b1d19e43dbe211a9da6ae,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0052,""p"":0.0052,""q"":0.0}"
       100,         1,         0,   0.014,beliefmatching,6e51d80410b2dade196735f355b3b1efee3e5a75183b1d19e43dbe211a9da6ae,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0052,""p"":0.0052,""q"":0.0}"
       928,         5,         0,   0.093,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      2359,        23,         0,   0.220,beliefmatching,e3a53245b6d6f56f666266b74bbccca30b46f57a082b444f3f0fea6f6adbf786,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0038,""p"":0.0038,""q"":0.0}"
      4800,        36,         0,   0.271,beliefmatching,b47b2c4b898d1a040b57dc038e229db4f39f3dfe55c97b40d5463824b7b49fb0,"{""bias"":0,""bias_type"":""depolarizing_vs_dephasing"",""code"":""FloquetColourCode"",""distance"":4,""layers"":4,""m"":0.0031,""p"":0.0031,""q"":0.0}"
